,precision,recall,f1-score,support
0,0.0,0.0,0.0,1.0
1,0.8,1.0,0.8888888888888888,4.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.4,0.5,0.4444444444444444,5.0
weighted avg,0.64,0.8,0.711111111111111,5.0
